search_id,search_date,search_term,search_frequency
201,2023-01-21,energy drinks,59
202,2023-01-21,phone charger,49
203,2023-01-21,protein snacks,52
204,2023-01-21,paper towels,81
205,2023-01-21,sparkling water,60
206,2023-01-21,usb c cable,74
207,2023-01-21,coffee,118
208,2023-01-21,sunscreen,55
209,2023-01-21,instant noodles,44
210,2023-01-21,laundry detergent,23
211,2023-01-22,energy drinks,10
212,2023-01-22,phone charger,62
213,2023-01-22,protein snacks,41
214,2023-01-22,paper towels,20
215,2023-01-22,sparkling water,39
216,2023-01-22,usb c cable,29
217,2023-01-22,coffee,119
218,2023-01-22,sunscreen,24
219,2023-01-22,instant noodles,113
220,2023-01-22,laundry detergent,51
221,2023-01-23,energy drinks,50
222,2023-01-23,phone charger,24
223,2023-01-23,protein snacks,21
224,2023-01-23,paper towels,34
225,2023-01-23,sparkling water,42
226,2023-01-23,usb c cable,16
227,2023-01-23,coffee,70
228,2023-01-23,sunscreen,57
229,2023-01-23,instant noodles,59
230,2023-01-23,laundry detergent,43
231,2023-01-24,energy drinks,39
232,2023-01-24,phone charger,68
233,2023-01-24,protein snacks,66
234,2023-01-24,paper towels,99
235,2023-01-24,sparkling water,25
236,2023-01-24,usb c cable,78
237,2023-01-24,coffee,45
238,2023-01-24,sunscreen,39
239,2023-01-24,instant noodles,61
240,2023-01-24,laundry detergent,34
241,2023-01-25,energy drinks,54
242,2023-01-25,phone charger,49
243,2023-01-25,protein snacks,13
244,2023-01-25,paper towels,100
245,2023-01-25,sparkling water,35
246,2023-01-25,usb c cable,79
247,2023-01-25,coffee,72
248,2023-01-25,sunscreen,64
249,2023-01-25,instant noodles,96
250,2023-01-25,laundry detergent,23
251,2023-01-26,energy drinks,50
252,2023-01-26,phone charger,54
253,2023-01-26,protein snacks,59
254,2023-01-26,paper towels,111
255,2023-01-26,sparkling water,35
256,2023-01-26,usb c cable,19
257,2023-01-26,coffee,121
258,2023-01-26,sunscreen,21
259,2023-01-26,instant noodles,17
260,2023-01-26,laundry detergent,18
261,2023-01-27,energy drinks,37
262,2023-01-27,phone charger,61
263,2023-01-27,protein snacks,51
264,2023-01-27,paper towels,45
265,2023-01-27,sparkling water,19
266,2023-01-27,usb c cable,37
267,2023-01-27,coffee,20
268,2023-01-27,sunscreen,36
269,2023-01-27,instant noodles,83
270,2023-01-27,laundry detergent,36
271,2023-01-28,energy drinks,27
272,2023-01-28,phone charger,10
273,2023-01-28,protein snacks,75
274,2023-01-28,paper towels,47
275,2023-01-28,sparkling water,53
276,2023-01-28,usb c cable,64
277,2023-01-28,coffee,32
278,2023-01-28,sunscreen,34
279,2023-01-28,instant noodles,100
280,2023-01-28,laundry detergent,54
281,2023-01-29,energy drinks,13
282,2023-01-29,phone charger,65
283,2023-01-29,protein snacks,34
284,2023-01-29,paper towels,88
285,2023-01-29,sparkling water,68
286,2023-01-29,usb c cable,46
287,2023-01-29,coffee,78
288,2023-01-29,sunscreen,54
289,2023-01-29,instant noodles,50
290,2023-01-29,laundry detergent,71
291,2023-01-30,energy drinks,13
292,2023-01-30,phone charger,57
293,2023-01-30,protein snacks,17
294,2023-01-30,paper towels,62
295,2023-01-30,sparkling water,32
296,2023-01-30,usb c cable,67
297,2023-01-30,coffee,59
298,2023-01-30,sunscreen,68
299,2023-01-30,instant noodles,107
300,2023-01-30,laundry detergent,20
301,2023-01-31,energy drinks,45
302,2023-01-31,phone charger,50
303,2023-01-31,protein snacks,49
304,2023-01-31,paper towels,28
305,2023-01-31,sparkling water,33
306,2023-01-31,usb c cable,53
307,2023-01-31,coffee,44
308,2023-01-31,sunscreen,46
309,2023-01-31,instant noodles,41
310,2023-01-31,laundry detergent,17
311,2023-02-01,energy drinks,73
312,2023-02-01,phone charger,48
313,2023-02-01,protein snacks,38
314,2023-02-01,paper towels,24
315,2023-02-01,sparkling water,46
316,2023-02-01,usb c cable,75
317,2023-02-01,coffee,38
318,2023-02-01,sunscreen,59
319,2023-02-01,instant noodles,98
320,2023-02-01,laundry detergent,10
321,2023-02-02,energy drinks,24
322,2023-02-02,phone charger,62
323,2023-02-02,protein snacks,16
324,2023-02-02,paper towels,23
325,2023-02-02,sparkling water,72
326,2023-02-02,usb c cable,23
327,2023-02-02,coffee,51
328,2023-02-02,sunscreen,33
329,2023-02-02,instant noodles,77
330,2023-02-02,laundry detergent,65
331,2023-02-03,energy drinks,20
332,2023-02-03,phone charger,64
333,2023-02-03,protein snacks,34
334,2023-02-03,paper towels,82
335,2023-02-03,sparkling water,17
336,2023-02-03,usb c cable,13
337,2023-02-03,coffee,58
338,2023-02-03,sunscreen,57
339,2023-02-03,instant noodles,29
340,2023-02-03,laundry detergent,51
341,2023-02-04,energy drinks,33
342,2023-02-04,phone charger,73
343,2023-02-04,protein snacks,33
344,2023-02-04,paper towels,98
345,2023-02-04,sparkling water,76
346,2023-02-04,usb c cable,12
347,2023-02-04,coffee,27
348,2023-02-04,sunscreen,69
349,2023-02-04,instant noodles,17
350,2023-02-04,laundry detergent,73
351,2023-02-05,energy drinks,42
352,2023-02-05,phone charger,45
353,2023-02-05,protein snacks,66
354,2023-02-05,paper towels,66
355,2023-02-05,sparkling water,54
356,2023-02-05,usb c cable,71
357,2023-02-05,coffee,41
358,2023-02-05,sunscreen,74
359,2023-02-05,instant noodles,136
360,2023-02-05,laundry detergent,23
361,2023-02-06,energy drinks,67
362,2023-02-06,phone charger,11
363,2023-02-06,protein snacks,37
364,2023-02-06,paper towels,44
365,2023-02-06,sparkling water,57
366,2023-02-06,usb c cable,68
367,2023-02-06,coffee,15
368,2023-02-06,sunscreen,73
369,2023-02-06,instant noodles,107
370,2023-02-06,laundry detergent,35
371,2023-02-07,energy drinks,16
372,2023-02-07,phone charger,22
373,2023-02-07,protein snacks,41
374,2023-02-07,paper towels,14
375,2023-02-07,sparkling water,48
376,2023-02-07,usb c cable,79
377,2023-02-07,coffee,36
378,2023-02-07,sunscreen,75
379,2023-02-07,instant noodles,36
380,2023-02-07,laundry detergent,79
381,2023-02-08,energy drinks,37
382,2023-02-08,phone charger,34
383,2023-02-08,protein snacks,44
384,2023-02-08,paper towels,35
385,2023-02-08,sparkling water,27
386,2023-02-08,usb c cable,28
387,2023-02-08,coffee,17
388,2023-02-08,sunscreen,64
389,2023-02-08,instant noodles,134
390,2023-02-08,laundry detergent,39
391,2023-02-09,energy drinks,35
392,2023-02-09,phone charger,71
393,2023-02-09,protein snacks,42
394,2023-02-09,paper towels,18
395,2023-02-09,sparkling water,43
396,2023-02-09,usb c cable,45
397,2023-02-09,coffee,62
398,2023-02-09,sunscreen,44
399,2023-02-09,instant noodles,46
400,2023-02-09,laundry detergent,67
401,2023-02-10,energy drinks,60
402,2023-02-10,phone charger,35
403,2023-02-10,protein snacks,15
404,2023-02-10,paper towels,43
405,2023-02-10,sparkling water,16
406,2023-02-10,usb c cable,46
407,2023-02-10,coffee,134
408,2023-02-10,sunscreen,41
409,2023-02-10,instant noodles,96
410,2023-02-10,laundry detergent,20
411,2023-02-11,energy drinks,49
412,2023-02-11,phone charger,30
413,2023-02-11,protein snacks,78
414,2023-02-11,paper towels,93
415,2023-02-11,sparkling water,44
416,2023-02-11,usb c cable,56
417,2023-02-11,coffee,86
418,2023-02-11,sunscreen,68
419,2023-02-11,instant noodles,32
420,2023-02-11,laundry detergent,17
421,2023-02-12,energy drinks,50
422,2023-02-12,phone charger,10
423,2023-02-12,protein snacks,41
424,2023-02-12,paper towels,18
425,2023-02-12,sparkling water,37
426,2023-02-12,usb c cable,70
427,2023-02-12,coffee,105
428,2023-02-12,sunscreen,33
429,2023-02-12,instant noodles,105
430,2023-02-12,laundry detergent,21
431,2023-02-13,energy drinks,51
432,2023-02-13,phone charger,10
433,2023-02-13,protein snacks,52
434,2023-02-13,paper towels,83
435,2023-02-13,sparkling water,73
436,2023-02-13,usb c cable,59
437,2023-02-13,coffee,78
438,2023-02-13,sunscreen,51
439,2023-02-13,instant noodles,91
440,2023-02-13,laundry detergent,58
441,2023-02-14,energy drinks,12
442,2023-02-14,phone charger,72
443,2023-02-14,protein snacks,21
444,2023-02-14,paper towels,30
445,2023-02-14,sparkling water,62
446,2023-02-14,usb c cable,55
447,2023-02-14,coffee,94
448,2023-02-14,sunscreen,73
449,2023-02-14,instant noodles,87
450,2023-02-14,laundry detergent,25
451,2023-02-15,energy drinks,34
452,2023-02-15,phone charger,51
453,2023-02-15,protein snacks,78
454,2023-02-15,paper towels,101
455,2023-02-15,sparkling water,61
456,2023-02-15,usb c cable,35
457,2023-02-15,coffee,54
458,2023-02-15,sunscreen,29
459,2023-02-15,instant noodles,19
460,2023-02-15,laundry detergent,78
461,2023-02-16,energy drinks,13
462,2023-02-16,phone charger,20
463,2023-02-16,protein snacks,30
464,2023-02-16,paper towels,76
465,2023-02-16,sparkling water,48
466,2023-02-16,usb c cable,34
467,2023-02-16,coffee,92
468,2023-02-16,sunscreen,43
469,2023-02-16,instant noodles,89
470,2023-02-16,laundry detergent,29
471,2023-02-17,energy drinks,24
472,2023-02-17,phone charger,55
473,2023-02-17,protein snacks,46
474,2023-02-17,paper towels,88
475,2023-02-17,sparkling water,50
476,2023-02-17,usb c cable,14
477,2023-02-17,coffee,103
478,2023-02-17,sunscreen,19
479,2023-02-17,instant noodles,18
480,2023-02-17,laundry detergent,72
481,2023-02-18,energy drinks,31
482,2023-02-18,phone charger,37
483,2023-02-18,protein snacks,60
484,2023-02-18,paper towels,77
485,2023-02-18,sparkling water,10
486,2023-02-18,usb c cable,63
487,2023-02-18,coffee,53
488,2023-02-18,sunscreen,64
489,2023-02-18,instant noodles,80
490,2023-02-18,laundry detergent,70
491,2023-02-19,energy drinks,28
492,2023-02-19,phone charger,55
493,2023-02-19,protein snacks,77
494,2023-02-19,paper towels,105
495,2023-02-19,sparkling water,23
496,2023-02-19,usb c cable,40
497,2023-02-19,coffee,97
498,2023-02-19,sunscreen,27
499,2023-02-19,instant noodles,39
500,2023-02-19,laundry detergent,30
501,2023-02-20,energy drinks,20
502,2023-02-20,phone charger,66
503,2023-02-20,protein snacks,23
504,2023-02-20,paper towels,27
505,2023-02-20,sparkling water,17
506,2023-02-20,usb c cable,11
507,2023-02-20,coffee,61
508,2023-02-20,sunscreen,57
509,2023-02-20,instant noodles,46
510,2023-02-20,laundry detergent,77
511,2023-02-21,energy drinks,14
512,2023-02-21,phone charger,17
513,2023-02-21,protein snacks,49
514,2023-02-21,paper towels,52
515,2023-02-21,sparkling water,65
516,2023-02-21,usb c cable,28
517,2023-02-21,coffee,80
518,2023-02-21,sunscreen,39
519,2023-02-21,instant noodles,17
520,2023-02-21,laundry detergent,22
521,2023-02-22,energy drinks,29
522,2023-02-22,phone charger,47
523,2023-02-22,protein snacks,33
524,2023-02-22,paper towels,69
525,2023-02-22,sparkling water,63
526,2023-02-22,usb c cable,50
527,2023-02-22,coffee,122
528,2023-02-22,sunscreen,77
529,2023-02-22,instant noodles,80
530,2023-02-22,laundry detergent,22
531,2023-02-23,energy drinks,34
532,2023-02-23,phone charger,38
533,2023-02-23,protein snacks,79
534,2023-02-23,paper towels,90
535,2023-02-23,sparkling water,64
536,2023-02-23,usb c cable,69
537,2023-02-23,coffee,113
538,2023-02-23,sunscreen,11
539,2023-02-23,instant noodles,123
540,2023-02-23,laundry detergent,32
541,2023-02-24,energy drinks,47
542,2023-02-24,phone charger,73
543,2023-02-24,protein snacks,19
544,2023-02-24,paper towels,46
545,2023-02-24,sparkling water,45
546,2023-02-24,usb c cable,46
547,2023-02-24,coffee,125
548,2023-02-24,sunscreen,51
549,2023-02-24,instant noodles,120
550,2023-02-24,laundry detergent,79
551,2023-02-25,energy drinks,61
552,2023-02-25,phone charger,69
553,2023-02-25,protein snacks,74
554,2023-02-25,paper towels,96
555,2023-02-25,sparkling water,33
556,2023-02-25,usb c cable,77
557,2023-02-25,coffee,139
558,2023-02-25,sunscreen,15
559,2023-02-25,instant noodles,82
560,2023-02-25,laundry detergent,69
561,2023-02-26,energy drinks,33
562,2023-02-26,phone charger,41
563,2023-02-26,protein snacks,63
564,2023-02-26,paper towels,109
565,2023-02-26,sparkling water,63
566,2023-02-26,usb c cable,48
567,2023-02-26,coffee,15
568,2023-02-26,sunscreen,75
569,2023-02-26,instant noodles,27
570,2023-02-26,laundry detergent,58
571,2023-02-27,energy drinks,67
572,2023-02-27,phone charger,67
573,2023-02-27,protein snacks,22
574,2023-02-27,paper towels,111
575,2023-02-27,sparkling water,43
576,2023-02-27,usb c cable,19
577,2023-02-27,coffee,69
578,2023-02-27,sunscreen,74
579,2023-02-27,instant noodles,37
580,2023-02-27,laundry detergent,52
581,2023-02-28,energy drinks,75
582,2023-02-28,phone charger,79
583,2023-02-28,protein snacks,35
584,2023-02-28,paper towels,22
585,2023-02-28,sparkling water,35
586,2023-02-28,usb c cable,52
587,2023-02-28,coffee,66
588,2023-02-28,sunscreen,74
589,2023-02-28,instant noodles,64
590,2023-02-28,laundry detergent,10
591,2023-03-01,energy drinks,74
592,2023-03-01,phone charger,66
593,2023-03-01,protein snacks,42
594,2023-03-01,paper towels,53
595,2023-03-01,sparkling water,57
596,2023-03-01,usb c cable,10
597,2023-03-01,coffee,26
598,2023-03-01,sunscreen,54
599,2023-03-01,instant noodles,54
600,2023-03-01,laundry detergent,64
601,2023-03-02,energy drinks,61
602,2023-03-02,phone charger,14
603,2023-03-02,protein snacks,36
604,2023-03-02,paper towels,52
605,2023-03-02,sparkling water,50
606,2023-03-02,usb c cable,76
607,2023-03-02,coffee,29
608,2023-03-02,sunscreen,68
609,2023-03-02,instant noodles,68
610,2023-03-02,laundry detergent,33
611,2023-03-03,energy drinks,35
612,2023-03-03,phone charger,14
613,2023-03-03,protein snacks,38
614,2023-03-03,paper towels,35
615,2023-03-03,sparkling water,57
616,2023-03-03,usb c cable,41
617,2023-03-03,coffee,70
618,2023-03-03,sunscreen,45
619,2023-03-03,instant noodles,49
620,2023-03-03,laundry detergent,28
621,2023-03-04,energy drinks,12
622,2023-03-04,phone charger,70
623,2023-03-04,protein snacks,25
624,2023-03-04,paper towels,69
625,2023-03-04,sparkling water,20
626,2023-03-04,usb c cable,42
627,2023-03-04,coffee,17
628,2023-03-04,sunscreen,25
629,2023-03-04,instant noodles,70
630,2023-03-04,laundry detergent,35
631,2023-03-05,energy drinks,25
632,2023-03-05,phone charger,37
633,2023-03-05,protein snacks,64
634,2023-03-05,paper towels,35
635,2023-03-05,sparkling water,13
636,2023-03-05,usb c cable,30
637,2023-03-05,coffee,58
638,2023-03-05,sunscreen,55
639,2023-03-05,instant noodles,12
640,2023-03-05,laundry detergent,59
641,2023-03-06,energy drinks,68
642,2023-03-06,phone charger,46
643,2023-03-06,protein snacks,75
644,2023-03-06,paper towels,16
645,2023-03-06,sparkling water,53
646,2023-03-06,usb c cable,32
647,2023-03-06,coffee,29
648,2023-03-06,sunscreen,35
649,2023-03-06,instant noodles,71
650,2023-03-06,laundry detergent,63
651,2023-03-07,energy drinks,58
652,2023-03-07,phone charger,12
653,2023-03-07,protein snacks,15
654,2023-03-07,paper towels,17
655,2023-03-07,sparkling water,74
656,2023-03-07,usb c cable,51
657,2023-03-07,coffee,29
658,2023-03-07,sunscreen,74
659,2023-03-07,instant noodles,64
660,2023-03-07,laundry detergent,29
661,2023-03-08,energy drinks,72
662,2023-03-08,phone charger,65
663,2023-03-08,protein snacks,60
664,2023-03-08,paper towels,58
665,2023-03-08,sparkling water,17
666,2023-03-08,usb c cable,43
667,2023-03-08,coffee,28
668,2023-03-08,sunscreen,18
669,2023-03-08,instant noodles,75
670,2023-03-08,laundry detergent,43
671,2023-03-09,energy drinks,10
672,2023-03-09,phone charger,75
673,2023-03-09,protein snacks,31
674,2023-03-09,paper towels,56
675,2023-03-09,sparkling water,12
676,2023-03-09,usb c cable,44
677,2023-03-09,coffee,45
678,2023-03-09,sunscreen,33
679,2023-03-09,instant noodles,19
680,2023-03-09,laundry detergent,30
681,2023-03-10,energy drinks,67
682,2023-03-10,phone charger,54
683,2023-03-10,protein snacks,77
684,2023-03-10,paper towels,20
685,2023-03-10,sparkling water,27
686,2023-03-10,usb c cable,25
687,2023-03-10,coffee,65
688,2023-03-10,sunscreen,74
689,2023-03-10,instant noodles,73
690,2023-03-10,laundry detergent,23
691,2023-03-11,energy drinks,61
692,2023-03-11,phone charger,48
693,2023-03-11,protein snacks,23
694,2023-03-11,paper towels,13
695,2023-03-11,sparkling water,17
696,2023-03-11,usb c cable,68
697,2023-03-11,coffee,42
698,2023-03-11,sunscreen,57
699,2023-03-11,instant noodles,35
700,2023-03-11,laundry detergent,57
701,2023-03-12,energy drinks,56
702,2023-03-12,phone charger,67
703,2023-03-12,protein snacks,13
704,2023-03-12,paper towels,54
705,2023-03-12,sparkling water,28
706,2023-03-12,usb c cable,29
707,2023-03-12,coffee,63
708,2023-03-12,sunscreen,71
709,2023-03-12,instant noodles,60
710,2023-03-12,laundry detergent,19
711,2023-03-13,energy drinks,39
712,2023-03-13,phone charger,47
713,2023-03-13,protein snacks,43
714,2023-03-13,paper towels,36
715,2023-03-13,sparkling water,29
716,2023-03-13,usb c cable,25
717,2023-03-13,coffee,40
718,2023-03-13,sunscreen,68
719,2023-03-13,instant noodles,47
720,2023-03-13,laundry detergent,61
721,2023-03-14,energy drinks,75
722,2023-03-14,phone charger,78
723,2023-03-14,protein snacks,42
724,2023-03-14,paper towels,50
725,2023-03-14,sparkling water,51
726,2023-03-14,usb c cable,78
727,2023-03-14,coffee,76
728,2023-03-14,sunscreen,12
729,2023-03-14,instant noodles,42
730,2023-03-14,laundry detergent,47
731,2023-03-15,energy drinks,51
732,2023-03-15,phone charger,26
733,2023-03-15,protein snacks,53
734,2023-03-15,paper towels,47
735,2023-03-15,sparkling water,50
736,2023-03-15,usb c cable,49
737,2023-03-15,coffee,15
738,2023-03-15,sunscreen,46
739,2023-03-15,instant noodles,68
740,2023-03-15,laundry detergent,58
741,2023-03-16,energy drinks,67
742,2023-03-16,phone charger,24
743,2023-03-16,protein snacks,49
744,2023-03-16,paper towels,44
745,2023-03-16,sparkling water,61
746,2023-03-16,usb c cable,76
747,2023-03-16,coffee,78
748,2023-03-16,sunscreen,52
749,2023-03-16,instant noodles,15
750,2023-03-16,laundry detergent,33
751,2023-03-17,energy drinks,53
752,2023-03-17,phone charger,20
753,2023-03-17,protein snacks,73
754,2023-03-17,paper towels,42
755,2023-03-17,sparkling water,33
756,2023-03-17,usb c cable,64
757,2023-03-17,coffee,74
758,2023-03-17,sunscreen,48
759,2023-03-17,instant noodles,61
760,2023-03-17,laundry detergent,15
761,2023-03-18,energy drinks,62
762,2023-03-18,phone charger,44
763,2023-03-18,protein snacks,19
764,2023-03-18,paper towels,11
765,2023-03-18,sparkling water,17
766,2023-03-18,usb c cable,56
767,2023-03-18,coffee,76
768,2023-03-18,sunscreen,40
769,2023-03-18,instant noodles,78
770,2023-03-18,laundry detergent,70
771,2023-03-19,energy drinks,62
772,2023-03-19,phone charger,10
773,2023-03-19,protein snacks,29
774,2023-03-19,paper towels,75
775,2023-03-19,sparkling water,17
776,2023-03-19,usb c cable,71
777,2023-03-19,coffee,60
778,2023-03-19,sunscreen,49
779,2023-03-19,instant noodles,71
780,2023-03-19,laundry detergent,26
781,2023-03-20,energy drinks,38
782,2023-03-20,phone charger,45
783,2023-03-20,protein snacks,18
784,2023-03-20,paper towels,10
785,2023-03-20,sparkling water,55
786,2023-03-20,usb c cable,48
787,2023-03-20,coffee,77
788,2023-03-20,sunscreen,58
789,2023-03-20,instant noodles,15
790,2023-03-20,laundry detergent,50
791,2023-03-21,energy drinks,55
792,2023-03-21,phone charger,54
793,2023-03-21,protein snacks,79
794,2023-03-21,paper towels,18
795,2023-03-21,sparkling water,69
796,2023-03-21,usb c cable,49
797,2023-03-21,coffee,78
798,2023-03-21,sunscreen,36
799,2023-03-21,instant noodles,49
800,2023-03-21,laundry detergent,10
801,2023-03-22,energy drinks,72
802,2023-03-22,phone charger,57
803,2023-03-22,protein snacks,45
804,2023-03-22,paper towels,55
805,2023-03-22,sparkling water,10
806,2023-03-22,usb c cable,76
807,2023-03-22,coffee,12
808,2023-03-22,sunscreen,29
809,2023-03-22,instant noodles,65
810,2023-03-22,laundry detergent,29
811,2023-03-23,energy drinks,68
812,2023-03-23,phone charger,17
813,2023-03-23,protein snacks,69
814,2023-03-23,paper towels,29
815,2023-03-23,sparkling water,20
816,2023-03-23,usb c cable,22
817,2023-03-23,coffee,79
818,2023-03-23,sunscreen,11
819,2023-03-23,instant noodles,31
820,2023-03-23,laundry detergent,55
821,2023-03-24,energy drinks,34
822,2023-03-24,phone charger,45
823,2023-03-24,protein snacks,55
824,2023-03-24,paper towels,21
825,2023-03-24,sparkling water,15
826,2023-03-24,usb c cable,31
827,2023-03-24,coffee,20
828,2023-03-24,sunscreen,23
829,2023-03-24,instant noodles,34
830,2023-03-24,laundry detergent,17
831,2023-03-25,energy drinks,71
832,2023-03-25,phone charger,74
833,2023-03-25,protein snacks,76
834,2023-03-25,paper towels,57
835,2023-03-25,sparkling water,32
836,2023-03-25,usb c cable,75
