calendar_date,year,month,day_of_week,season,is_weekend,is_holiday,temperature
2023-08-21,2023,8,Monday,Summer,0,0,78
2023-08-22,2023,8,Tuesday,Summer,0,0,73
2023-08-23,2023,8,Wednesday,Summer,0,0,93
2023-08-24,2023,8,Thursday,Summer,0,0,82
2023-08-25,2023,8,Friday,Summer,0,0,63
2023-08-26,2023,8,Saturday,Summer,1,0,79
2023-08-27,2023,8,Sunday,Summer,1,0,73
2023-08-28,2023,8,Monday,Summer,0,0,83
2023-08-29,2023,8,Tuesday,Summer,0,0,72
2023-08-30,2023,8,Wednesday,Summer,0,0,77
2023-08-31,2023,8,Thursday,Summer,0,0,81
2023-09-01,2023,9,Friday,Fall,0,0,61
2023-09-02,2023,9,Saturday,Fall,1,0,46
2023-09-03,2023,9,Sunday,Fall,1,0,52
2023-09-04,2023,9,Monday,Fall,0,1,51
2023-09-05,2023,9,Tuesday,Fall,0,0,50
2023-09-06,2023,9,Wednesday,Fall,0,0,67
2023-09-07,2023,9,Thursday,Fall,0,0,57
2023-09-08,2023,9,Friday,Fall,0,0,46
2023-09-09,2023,9,Saturday,Fall,1,0,61
2023-09-10,2023,9,Sunday,Fall,1,0,69
2023-09-11,2023,9,Monday,Fall,0,0,62
2023-09-12,2023,9,Tuesday,Fall,0,0,44
2023-09-13,2023,9,Wednesday,Fall,0,0,51
2023-09-14,2023,9,Thursday,Fall,0,0,63
2023-09-15,2023,9,Friday,Fall,0,0,50
2023-09-16,2023,9,Saturday,Fall,1,0,58
2023-09-17,2023,9,Sunday,Fall,1,0,60
2023-09-18,2023,9,Monday,Fall,0,0,48
2023-09-19,2023,9,Tuesday,Fall,0,0,54
2023-09-20,2023,9,Wednesday,Fall,0,0,32
2023-09-21,2023,9,Thursday,Fall,0,0,47
2023-09-22,2023,9,Friday,Fall,0,0,53
2023-09-23,2023,9,Saturday,Fall,1,0,46
2023-09-24,2023,9,Sunday,Fall,1,0,66
2023-09-25,2023,9,Monday,Fall,0,0,44
2023-09-26,2023,9,Tuesday,Fall,0,0,51
2023-09-27,2023,9,Wednesday,Fall,0,0,55
2023-09-28,2023,9,Thursday,Fall,0,0,65
2023-09-29,2023,9,Friday,Fall,0,0,44
2023-09-30,2023,9,Saturday,Fall,1,0,63
2023-10-01,2023,10,Sunday,Fall,1,0,55
2023-10-02,2023,10,Monday,Fall,0,0,48
2023-10-03,2023,10,Tuesday,Fall,0,0,58
2023-10-04,2023,10,Wednesday,Fall,0,0,56
2023-10-05,2023,10,Thursday,Fall,0,0,50
2023-10-06,2023,10,Friday,Fall,0,0,55
2023-10-07,2023,10,Saturday,Fall,1,0,52
2023-10-08,2023,10,Sunday,Fall,1,0,55
2023-10-09,2023,10,Monday,Fall,0,0,59
2023-10-10,2023,10,Tuesday,Fall,0,0,66
2023-10-11,2023,10,Wednesday,Fall,0,0,46
2023-10-12,2023,10,Thursday,Fall,0,0,69
2023-10-13,2023,10,Friday,Fall,0,0,41
2023-10-14,2023,10,Saturday,Fall,1,0,53
2023-10-15,2023,10,Sunday,Fall,1,0,59
2023-10-16,2023,10,Monday,Fall,0,0,56
2023-10-17,2023,10,Tuesday,Fall,0,0,50
2023-10-18,2023,10,Wednesday,Fall,0,0,53
2023-10-19,2023,10,Thursday,Fall,0,0,51
2023-10-20,2023,10,Friday,Fall,0,0,50
2023-10-21,2023,10,Saturday,Fall,1,0,60
2023-10-22,2023,10,Sunday,Fall,1,0,57
2023-10-23,2023,10,Monday,Fall,0,0,50
2023-10-24,2023,10,Tuesday,Fall,0,0,61
2023-10-25,2023,10,Wednesday,Fall,0,0,57
2023-10-26,2023,10,Thursday,Fall,0,0,60
2023-10-27,2023,10,Friday,Fall,0,0,59
2023-10-28,2023,10,Saturday,Fall,1,0,49
2023-10-29,2023,10,Sunday,Fall,1,0,51
2023-10-30,2023,10,Monday,Fall,0,0,60
2023-10-31,2023,10,Tuesday,Fall,0,0,59
2023-11-01,2023,11,Wednesday,Fall,0,0,54
2023-11-02,2023,11,Thursday,Fall,0,0,55
2023-11-03,2023,11,Friday,Fall,0,0,63
2023-11-04,2023,11,Saturday,Fall,1,0,50
2023-11-05,2023,11,Sunday,Fall,1,0,58
2023-11-06,2023,11,Monday,Fall,0,0,53
2023-11-07,2023,11,Tuesday,Fall,0,0,53
2023-11-08,2023,11,Wednesday,Fall,0,0,62
2023-11-09,2023,11,Thursday,Fall,0,0,60
2023-11-10,2023,11,Friday,Fall,0,0,60
2023-11-11,2023,11,Saturday,Fall,1,0,64
2023-11-12,2023,11,Sunday,Fall,1,0,55
2023-11-13,2023,11,Monday,Fall,0,0,59
2023-11-14,2023,11,Tuesday,Fall,0,0,52
2023-11-15,2023,11,Wednesday,Fall,0,0,57
2023-11-16,2023,11,Thursday,Fall,0,0,54
2023-11-17,2023,11,Friday,Fall,0,0,55
2023-11-18,2023,11,Saturday,Fall,1,0,59
2023-11-19,2023,11,Sunday,Fall,1,0,49
2023-11-20,2023,11,Monday,Fall,0,0,69
2023-11-21,2023,11,Tuesday,Fall,0,0,47
2023-11-22,2023,11,Wednesday,Fall,0,0,46
2023-11-23,2023,11,Thursday,Fall,0,1,63
2023-11-24,2023,11,Friday,Fall,0,0,60
2023-11-25,2023,11,Saturday,Fall,1,0,59
2023-11-26,2023,11,Sunday,Fall,1,0,59
2023-11-27,2023,11,Monday,Fall,0,0,54
2023-11-28,2023,11,Tuesday,Fall,0,0,48
2023-11-29,2023,11,Wednesday,Fall,0,0,55
2023-11-30,2023,11,Thursday,Fall,0,0,50
2023-12-01,2023,12,Friday,Winter,0,0,48
2023-12-02,2023,12,Saturday,Winter,1,0,40
2023-12-03,2023,12,Sunday,Winter,1,0,36
2023-12-04,2023,12,Monday,Winter,0,0,39
2023-12-05,2023,12,Tuesday,Winter,0,0,44
2023-12-06,2023,12,Wednesday,Winter,0,0,38
2023-12-07,2023,12,Thursday,Winter,0,0,36
2023-12-08,2023,12,Friday,Winter,0,0,43
2023-12-09,2023,12,Saturday,Winter,1,0,43
2023-12-10,2023,12,Sunday,Winter,1,0,38
2023-12-11,2023,12,Monday,Winter,0,0,38
2023-12-12,2023,12,Tuesday,Winter,0,0,43
2023-12-13,2023,12,Wednesday,Winter,0,0,31
2023-12-14,2023,12,Thursday,Winter,0,0,32
2023-12-15,2023,12,Friday,Winter,0,0,36
2023-12-16,2023,12,Saturday,Winter,1,0,40
2023-12-17,2023,12,Sunday,Winter,1,0,44
2023-12-18,2023,12,Monday,Winter,0,0,52
2023-12-19,2023,12,Tuesday,Winter,0,0,48
2023-12-20,2023,12,Wednesday,Winter,0,0,40
2023-12-21,2023,12,Thursday,Winter,0,0,41
2023-12-22,2023,12,Friday,Winter,0,0,34
2023-12-23,2023,12,Saturday,Winter,1,0,41
2023-12-24,2023,12,Sunday,Winter,1,0,39
2023-12-25,2023,12,Monday,Winter,0,1,44
2023-12-26,2023,12,Tuesday,Winter,0,0,36
2023-12-27,2023,12,Wednesday,Winter,0,0,45
2023-12-28,2023,12,Thursday,Winter,0,0,52
2023-12-29,2023,12,Friday,Winter,0,0,41
2023-12-30,2023,12,Saturday,Winter,1,0,44
2023-12-31,2023,12,Sunday,Winter,1,0,46
2024-01-01,2024,1,Monday,Winter,0,1,39
2024-01-02,2024,1,Tuesday,Winter,0,0,43
2024-01-03,2024,1,Wednesday,Winter,0,0,42
2024-01-04,2024,1,Thursday,Winter,0,0,42
2024-01-05,2024,1,Friday,Winter,0,0,36
2024-01-06,2024,1,Saturday,Winter,1,0,42
2024-01-07,2024,1,Sunday,Winter,1,0,45
2024-01-08,2024,1,Monday,Winter,0,0,52
2024-01-09,2024,1,Tuesday,Winter,0,0,48
2024-01-10,2024,1,Wednesday,Winter,0,0,57
2024-01-11,2024,1,Thursday,Winter,0,0,36
2024-01-12,2024,1,Friday,Winter,0,0,48
2024-01-13,2024,1,Saturday,Winter,1,0,43
2024-01-14,2024,1,Sunday,Winter,1,0,57
2024-01-15,2024,1,Monday,Winter,0,0,36
2024-01-16,2024,1,Tuesday,Winter,0,0,36
2024-01-17,2024,1,Wednesday,Winter,0,0,37
2024-01-18,2024,1,Thursday,Winter,0,0,27
2024-01-19,2024,1,Friday,Winter,0,0,38
2024-01-20,2024,1,Saturday,Winter,1,0,36
2024-01-21,2024,1,Sunday,Winter,1,0,43
2024-01-22,2024,1,Monday,Winter,0,0,44
2024-01-23,2024,1,Tuesday,Winter,0,0,55
2024-01-24,2024,1,Wednesday,Winter,0,0,48
2024-01-25,2024,1,Thursday,Winter,0,0,37
2024-01-26,2024,1,Friday,Winter,0,0,35
2024-01-27,2024,1,Saturday,Winter,1,0,45
2024-01-28,2024,1,Sunday,Winter,1,0,32
2024-01-29,2024,1,Monday,Winter,0,0,54
2024-01-30,2024,1,Tuesday,Winter,0,0,50
2024-01-31,2024,1,Wednesday,Winter,0,0,38
2024-02-01,2024,2,Thursday,Winter,0,0,30
2024-02-02,2024,2,Friday,Winter,0,0,51
2024-02-03,2024,2,Saturday,Winter,1,0,41
2024-02-04,2024,2,Sunday,Winter,1,0,50
2024-02-05,2024,2,Monday,Winter,0,0,30
2024-02-06,2024,2,Tuesday,Winter,0,0,37
2024-02-07,2024,2,Wednesday,Winter,0,0,42
2024-02-08,2024,2,Thursday,Winter,0,0,42
2024-02-09,2024,2,Friday,Winter,0,0,38
2024-02-10,2024,2,Saturday,Winter,1,0,46
2024-02-11,2024,2,Sunday,Winter,1,0,34
2024-02-12,2024,2,Monday,Winter,0,0,41
2024-02-13,2024,2,Tuesday,Winter,0,0,42
2024-02-14,2024,2,Wednesday,Winter,0,0,45
2024-02-15,2024,2,Thursday,Winter,0,0,46
2024-02-16,2024,2,Friday,Winter,0,0,34
2024-02-17,2024,2,Saturday,Winter,1,0,31
2024-02-18,2024,2,Sunday,Winter,1,0,50
2024-02-19,2024,2,Monday,Winter,0,0,44
2024-02-20,2024,2,Tuesday,Winter,0,0,36
2024-02-21,2024,2,Wednesday,Winter,0,0,52
2024-02-22,2024,2,Thursday,Winter,0,0,42
2024-02-23,2024,2,Friday,Winter,0,0,50
2024-02-24,2024,2,Saturday,Winter,1,0,42
2024-02-25,2024,2,Sunday,Winter,1,0,56
2024-02-26,2024,2,Monday,Winter,0,0,54
2024-02-27,2024,2,Tuesday,Winter,0,0,40
2024-02-28,2024,2,Wednesday,Winter,0,0,48
2024-02-29,2024,2,Thursday,Winter,0,0,46
2024-03-01,2024,3,Friday,Spring,0,0,67
2024-03-02,2024,3,Saturday,Spring,1,0,51
2024-03-03,2024,3,Sunday,Spring,1,0,62
2024-03-04,2024,3,Monday,Spring,0,0,65
2024-03-05,2024,3,Tuesday,Spring,0,0,45
2024-03-06,2024,3,Wednesday,Spring,0,0,49
2024-03-07,2024,3,Thursday,Spring,0,0,43
2024-03-08,2024,3,Friday,Spring,0,0,56
2024-03-09,2024,3,Saturday,Spring,1,0,63
2024-03-10,2024,3,Sunday,Spring,1,0,68
2024-03-11,2024,3,Monday,Spring,0,0,58
2024-03-12,2024,3,Tuesday,Spring,0,0,69
2024-03-13,2024,3,Wednesday,Spring,0,0,48
2024-03-14,2024,3,Thursday,Spring,0,0,46
2024-03-15,2024,3,Friday,Spring,0,0,57
2024-03-16,2024,3,Saturday,Spring,1,0,60
2024-03-17,2024,3,Sunday,Spring,1,0,57
2024-03-18,2024,3,Monday,Spring,0,0,43
2024-03-19,2024,3,Tuesday,Spring,0,0,57
2024-03-20,2024,3,Wednesday,Spring,0,0,48
2024-03-21,2024,3,Thursday,Spring,0,0,62
2024-03-22,2024,3,Friday,Spring,0,0,60
2024-03-23,2024,3,Saturday,Spring,1,0,51
2024-03-24,2024,3,Sunday,Spring,1,0,54
2024-03-25,2024,3,Monday,Spring,0,0,50
2024-03-26,2024,3,Tuesday,Spring,0,0,57
2024-03-27,2024,3,Wednesday,Spring,0,0,64
2024-03-28,2024,3,Thursday,Spring,0,0,51
2024-03-29,2024,3,Friday,Spring,0,0,61
2024-03-30,2024,3,Saturday,Spring,1,0,54
2024-03-31,2024,3,Sunday,Spring,1,0,52
2024-04-01,2024,4,Monday,Spring,0,0,57
2024-04-02,2024,4,Tuesday,Spring,0,0,50
2024-04-03,2024,4,Wednesday,Spring,0,0,54
2024-04-04,2024,4,Thursday,Spring,0,0,49
2024-04-05,2024,4,Friday,Spring,0,0,71
2024-04-06,2024,4,Saturday,Spring,1,0,58
2024-04-07,2024,4,Sunday,Spring,1,0,53
2024-04-08,2024,4,Monday,Spring,0,0,59
2024-04-09,2024,4,Tuesday,Spring,0,0,57
2024-04-10,2024,4,Wednesday,Spring,0,0,56
2024-04-11,2024,4,Thursday,Spring,0,0,62
2024-04-12,2024,4,Friday,Spring,0,0,63
2024-04-13,2024,4,Saturday,Spring,1,0,54
2024-04-14,2024,4,Sunday,Spring,1,0,53
2024-04-15,2024,4,Monday,Spring,0,0,56
2024-04-16,2024,4,Tuesday,Spring,0,0,41
2024-04-17,2024,4,Wednesday,Spring,0,0,47
2024-04-18,2024,4,Thursday,Spring,0,0,67
2024-04-19,2024,4,Friday,Spring,0,0,69
2024-04-20,2024,4,Saturday,Spring,1,0,56
2024-04-21,2024,4,Sunday,Spring,1,0,62
2024-04-22,2024,4,Monday,Spring,0,0,60
2024-04-23,2024,4,Tuesday,Spring,0,0,79
2024-04-24,2024,4,Wednesday,Spring,0,0,65
2024-04-25,2024,4,Thursday,Spring,0,0,57
2024-04-26,2024,4,Friday,Spring,0,0,51
2024-04-27,2024,4,Saturday,Spring,1,0,46
2024-04-28,2024,4,Sunday,Spring,1,0,59
2024-04-29,2024,4,Monday,Spring,0,0,52
2024-04-30,2024,4,Tuesday,Spring,0,0,48
2024-05-01,2024,5,Wednesday,Spring,0,0,53
2024-05-02,2024,5,Thursday,Spring,0,0,50
2024-05-03,2024,5,Friday,Spring,0,0,69
2024-05-04,2024,5,Saturday,Spring,1,0,64
2024-05-05,2024,5,Sunday,Spring,1,0,57
2024-05-06,2024,5,Monday,Spring,0,0,68
2024-05-07,2024,5,Tuesday,Spring,0,0,58
2024-05-08,2024,5,Wednesday,Spring,0,0,51
2024-05-09,2024,5,Thursday,Spring,0,0,68
2024-05-10,2024,5,Friday,Spring,0,0,61
2024-05-11,2024,5,Saturday,Spring,1,0,50
2024-05-12,2024,5,Sunday,Spring,1,0,56
2024-05-13,2024,5,Monday,Spring,0,0,51
2024-05-14,2024,5,Tuesday,Spring,0,0,48
2024-05-15,2024,5,Wednesday,Spring,0,0,64
2024-05-16,2024,5,Thursday,Spring,0,0,71
2024-05-17,2024,5,Friday,Spring,0,0,48
2024-05-18,2024,5,Saturday,Spring,1,0,61
2024-05-19,2024,5,Sunday,Spring,1,0,53
2024-05-20,2024,5,Monday,Spring,0,0,54
2024-05-21,2024,5,Tuesday,Spring,0,0,53
2024-05-22,2024,5,Wednesday,Spring,0,0,51
2024-05-23,2024,5,Thursday,Spring,0,0,58
2024-05-24,2024,5,Friday,Spring,0,0,52
2024-05-25,2024,5,Saturday,Spring,1,0,59
2024-05-26,2024,5,Sunday,Spring,1,0,57
2024-05-27,2024,5,Monday,Spring,0,1,56
2024-05-28,2024,5,Tuesday,Spring,0,0,51
2024-05-29,2024,5,Wednesday,Spring,0,0,53
