sale_id,sale_date,customer_id,product_id,quantity_sold,revenue,gross_profit,payment_method
60,2023-01-03,674,25,22,219.78,118.58,Mobile Wallet
61,2023-01-03,1473,28,17,59.33,38.08,Card
62,2023-01-03,246,29,4,43.96,27.16,Card
63,2023-01-03,187,30,11,49.39,32.89,Mobile Wallet
64,2023-01-04,646,4,22,186.78,94.38,Card
65,2023-01-04,2011,1,78,272.22,131.82,Mobile Wallet
66,2023-01-04,2197,2,31,216.69,98.89,Cash
67,2023-01-04,431,7,84,234.36,133.56,Card
68,2023-01-04,398,9,60,269.4,143.4,Mobile Wallet
69,2023-01-04,1944,6,47,258.03,131.13,Mobile Wallet
70,2023-01-04,1256,11,21,209.79,94.29,Card
71,2023-01-04,1245,13,28,251.72,125.72,Card
72,2023-01-04,1167,14,55,219.45,114.95,Mobile Wallet
73,2023-01-04,234,18,41,122.59,77.49,Cash
74,2023-01-04,27,15,28,125.72,76.72,Card
75,2023-01-04,1993,16,15,134.85,76.35,Cash
76,2023-01-04,647,20,16,127.84,94.24,Card
77,2023-01-04,2303,19,6,77.94,50.94,Card
78,2023-01-04,336,21,5,99.95,67.45,Card
79,2023-01-04,2260,23,102,182.58,116.28,Card
80,2023-01-04,594,26,15,164.85,86.1,Mobile Wallet
81,2023-01-04,561,25,19,189.81,102.41,Mobile Wallet
82,2023-01-04,1861,27,5,44.95,27.45,Card
83,2023-01-04,614,28,11,38.39,24.64,Card
84,2023-01-04,1695,30,9,40.41,26.91,Cash
85,2023-01-05,660,5,68,223.72,114.92,Card
86,2023-01-05,1794,2,25,174.75,79.75,Card
87,2023-01-05,462,4,18,152.82,77.22,Mobile Wallet
88,2023-01-05,1596,10,58,231.42,129.92,Cash
89,2023-01-05,989,6,37,203.13,103.23,Card
90,2023-01-05,246,8,96,191.04,109.44,Cash
91,2023-01-05,1152,14,41,163.59,85.69,Mobile Wallet
92,2023-01-05,1418,13,23,206.77,103.27,Card
93,2023-01-05,2443,11,23,229.77,103.27,Cash
94,2023-01-05,1465,18,45,134.55,85.05,Card
95,2023-01-05,1144,16,15,134.85,76.35,Card
96,2023-01-05,652,15,35,157.15,95.9,Cash
97,2023-01-05,1068,19,8,103.92,67.92,Cash
98,2023-01-05,1908,20,12,95.88,70.68,Card
99,2023-01-05,1680,21,4,79.96,53.96,Mobile Wallet
100,2023-01-05,2291,26,21,230.79,120.54,Card
101,2023-01-05,522,23,136,243.44,155.04,Card
102,2023-01-05,210,25,26,259.74,140.14,Mobile Wallet
103,2023-01-05,175,27,4,35.96,21.96,Card
104,2023-01-05,1873,29,3,32.97,20.37,Card
105,2023-01-05,1509,28,12,41.88,26.88,Mobile Wallet
106,2023-01-06,1180,3,32,255.68,111.68,Card
107,2023-01-06,980,5,84,276.36,141.96,Card
108,2023-01-06,977,2,38,265.62,121.22,Mobile Wallet
109,2023-01-06,973,8,138,274.62,157.32,Cash
110,2023-01-06,2383,6,47,258.03,131.13,Cash
111,2023-01-06,2412,9,56,251.44,133.84,Card
112,2023-01-06,874,14,53,211.47,110.77,Mobile Wallet
113,2023-01-06,1316,13,29,260.71,130.21,Card
114,2023-01-06,917,11,24,239.76,107.76,Cash
115,2023-01-06,2169,17,31,170.19,101.99,Cash
116,2023-01-06,907,16,19,170.81,96.71,Card
117,2023-01-06,448,15,32,143.68,87.68,Mobile Wallet
118,2023-01-06,1154,22,5,124.95,77.45,Card
119,2023-01-06,988,20,16,127.84,94.24,Card
120,2023-01-06,2350,21,5,99.95,67.45,Card
121,2023-01-06,932,26,22,241.78,126.28,Card
122,2023-01-06,579,25,23,229.77,123.97,Mobile Wallet
123,2023-01-06,2001,23,150,268.5,171.0,Card
124,2023-01-06,1603,27,6,53.94,32.94,Card
125,2023-01-06,1328,30,10,44.9,29.9,Cash
126,2023-01-06,222,28,13,45.37,29.12,Cash
127,2023-01-07,858,1,74,258.26,125.06,Card
128,2023-01-07,1246,2,46,321.54,146.74,Mobile Wallet
129,2023-01-07,538,3,33,263.67,115.17,Card
130,2023-01-07,186,6,52,285.48,145.08,Mobile Wallet
131,2023-01-07,1297,7,103,287.37,163.77,Card
132,2023-01-07,2068,9,53,237.97,126.67,Card
133,2023-01-07,1537,11,30,299.7,134.7,Card
134,2023-01-07,615,14,65,259.35,135.85,Mobile Wallet
135,2023-01-07,622,13,34,305.66,152.66,Cash
136,2023-01-07,592,15,45,202.05,123.3,Card
137,2023-01-07,1614,17,36,197.64,118.44,Card
138,2023-01-07,1444,16,26,233.74,132.34,Card
139,2023-01-07,1750,20,18,143.82,106.02,Card
140,2023-01-07,1312,19,9,116.91,76.41,Card
141,2023-01-07,2246,21,5,99.95,67.45,Mobile Wallet
142,2023-01-07,960,26,30,329.7,172.2,Card
143,2023-01-07,373,24,58,347.42,185.02,Mobile Wallet
144,2023-01-07,1677,25,28,279.72,150.92,Mobile Wallet
145,2023-01-07,1920,30,15,67.35,44.85,Card
146,2023-01-07,254,29,5,54.95,33.95,Card
147,2023-01-07,661,27,5,44.95,27.45,Card
148,2023-01-08,840,1,73,254.77,123.37,Card
149,2023-01-08,1955,5,69,227.01,116.61,Cash
150,2023-01-08,687,3,39,311.61,136.11,Card
151,2023-01-08,991,9,61,273.89,145.79,Card
152,2023-01-08,2161,6,47,258.03,131.13,Mobile Wallet
153,2023-01-08,376,10,53,211.47,118.72,Cash
154,2023-01-08,824,12,23,298.77,142.37,Card
155,2023-01-08,568,13,27,242.73,121.23,Card
156,2023-01-08,2279,11,27,269.73,121.23,Cash
157,2023-01-08,1787,18,54,161.46,102.06,Card
158,2023-01-08,1458,16,20,179.8,101.8,Cash
159,2023-01-08,648,15,47,211.03,128.78,Card
160,2023-01-08,1282,19,12,155.88,101.88,Card
161,2023-01-08,1964,21,7,139.93,94.43,Card
162,2023-01-08,2143,22,5,124.95,77.45,Mobile Wallet
163,2023-01-08,1932,25,32,319.68,172.48,Card
164,2023-01-08,1127,24,49,293.51,156.31,Card
165,2023-01-08,1278,26,29,318.71,166.46,Mobile Wallet
166,2023-01-08,1640,29,6,65.94,40.74,Card
167,2023-01-08,343,28,17,59.33,38.08,Card
168,2023-01-08,1463,27,6,53.94,32.94,Card
169,2023-01-09,448,3,31,247.69,108.19,Cash
170,2023-01-09,735,1,65,226.85,109.85,Cash
171,2023-01-09,1643,4,30,254.7,128.7,Card
172,2023-01-09,2198,7,109,304.11,173.31,Card
173,2023-01-09,580,8,138,274.62,157.32,Cash
174,2023-01-09,532,9,54,242.46,129.06,Card
175,2023-01-09,1671,13,23,206.77,103.27,Card
176,2023-01-09,376,11,23,229.77,103.27,Cash
177,2023-01-09,11,12,15,194.85,92.85,Cash
178,2023-01-09,1297,15,37,166.13,101.38,Card
179,2023-01-09,691,16,19,170.81,96.71,Cash
180,2023-01-09,2367,17,35,192.15,115.15,Card
181,2023-01-09,397,20,17,135.83,100.13,Card
182,2023-01-09,546,21,6,119.94,80.94,Card
183,2023-01-09,497,22,4,99.96,61.96,Card
184,2023-01-09,718,24,34,203.66,108.46,Card
185,2023-01-09,1409,26,24,263.76,137.76,Card
186,2023-01-09,1500,25,21,209.79,113.19,Card
187,2023-01-09,731,27,6,53.94,32.94,Card
188,2023-01-09,1287,28,13,45.37,29.12,Card
189,2023-01-09,711,29,5,54.95,33.95,Card
190,2023-01-10,1050,4,25,212.25,107.25,Card
191,2023-01-10,2312,3,30,239.7,104.7,Mobile Wallet
192,2023-01-10,754,1,68,237.32,114.92,Mobile Wallet
193,2023-01-10,599,9,47,211.03,112.33,Cash
194,2023-01-10,1935,8,106,210.94,120.84,Mobile Wallet
195,2023-01-10,2064,7,77,214.83,122.43,Card
196,2023-01-10,1165,11,27,269.73,121.23,Mobile Wallet
197,2023-01-10,209,13,29,260.71,130.21,Cash
198,2023-01-10,1451,14,56,223.44,117.04,Card
199,2023-01-10,1279,15,38,170.62,104.12,Mobile Wallet
200,2023-01-10,1677,16,19,170.81,96.71,Card
201,2023-01-10,705,17,21,115.29,69.09,Card
202,2023-01-10,973,20,12,95.88,70.68,Mobile Wallet
203,2023-01-10,1301,21,5,99.95,67.45,Card
204,2023-01-10,2408,22,4,99.96,61.96,Card
205,2023-01-10,1186,24,44,263.56,140.36,Card
206,2023-01-10,1948,25,30,299.7,161.7,Card
207,2023-01-10,2000,26,23,252.77,132.02,Card
208,2023-01-10,1350,28,13,45.37,29.12,Card
209,2023-01-10,1117,29,4,43.96,27.16,Mobile Wallet
210,2023-01-10,624,30,11,49.39,32.89,Card
211,2023-01-11,760,1,62,216.38,104.78,Mobile Wallet
212,2023-01-11,1724,5,69,227.01,116.61,Card
213,2023-01-11,2356,3,22,175.78,76.78,Card
214,2023-01-11,1051,10,68,271.32,152.32,Cash
215,2023-01-11,2250,7,82,228.78,130.38,Card
216,2023-01-11,1176,8,117,232.83,133.38,Cash
217,2023-01-11,1253,11,22,219.78,98.78,Card
218,2023-01-11,2284,12,19,246.81,117.61,Cash
219,2023-01-11,1092,13,28,251.72,125.72,Card
220,2023-01-11,1148,18,51,152.49,96.39,Card
221,2023-01-11,2249,16,16,143.84,81.44,Card
222,2023-01-11,1724,15,36,161.64,98.64,Card
223,2023-01-11,1352,22,4,99.96,61.96,Card
224,2023-01-11,1925,21,5,99.95,67.45,Card
225,2023-01-11,1086,19,7,90.93,59.43,Card
226,2023-01-11,136,24,45,269.55,143.55,Card
227,2023-01-11,2241,26,20,219.8,114.8,Card
228,2023-01-11,952,25,23,229.77,123.97,Cash
229,2023-01-11,1605,30,10,44.9,29.9,Card
230,2023-01-11,522,27,7,62.93,38.43,Mobile Wallet
231,2023-01-11,2182,29,3,32.97,20.37,Card
232,2023-01-12,1110,3,28,223.72,97.72,Mobile Wallet
233,2023-01-12,1953,1,72,251.28,121.68,Card
234,2023-01-12,355,4,27,229.23,115.83,Cash
235,2023-01-12,950,6,36,197.64,100.44,Card
236,2023-01-12,1726,10,59,235.41,132.16,Card
237,2023-01-12,1003,7,71,198.09,112.89,Mobile Wallet
238,2023-01-12,2444,11,20,199.8,89.8,Card
239,2023-01-12,707,12,15,194.85,92.85,Cash
240,2023-01-12,1448,13,27,242.73,121.23,Card
241,2023-01-12,2390,16,18,161.82,91.62,Cash
242,2023-01-12,1238,15,37,166.13,101.38,Card
243,2023-01-12,1134,18,53,158.47,100.17,Card
244,2023-01-12,1852,22,4,99.96,61.96,Cash
245,2023-01-12,2479,21,5,99.95,67.45,Mobile Wallet
246,2023-01-12,360,19,8,103.92,67.92,Card
247,2023-01-12,2168,24,30,179.7,95.7,Mobile Wallet
248,2023-01-12,1152,26,19,208.81,109.06,Mobile Wallet
249,2023-01-12,1530,23,141,252.39,160.74,Card
250,2023-01-12,2431,30,12,53.88,35.88,Card
251,2023-01-12,2321,29,4,43.96,27.16,Card
252,2023-01-12,357,27,6,53.94,32.94,Cash
253,2023-01-13,847,3,29,231.71,101.21,Cash
254,2023-01-13,67,5,64,210.56,108.16,Mobile Wallet
255,2023-01-13,484,4,25,212.25,107.25,Card
256,2023-01-13,96,7,76,212.04,120.84,Mobile Wallet
257,2023-01-13,2370,9,49,220.01,117.11,Cash
258,2023-01-13,1664,10,54,215.46,120.96,Card
259,2023-01-13,810,12,14,181.86,86.66,Card
260,2023-01-13,539,11,24,239.76,107.76,Card
261,2023-01-13,272,13,19,170.81,85.31,Cash
262,2023-01-13,1446,18,49,146.51,92.61,Mobile Wallet
263,2023-01-13,2351,15,35,157.15,95.9,Mobile Wallet
264,2023-01-13,185,17,33,181.17,108.57,Card
265,2023-01-13,2475,21,4,79.96,53.96,Cash
266,2023-01-13,504,20,13,103.87,76.57,Card
267,2023-01-13,2219,22,3,74.97,46.47,Cash
268,2023-01-13,368,24,41,245.59,130.79,Card
269,2023-01-13,616,25,23,229.77,123.97,Mobile Wallet
270,2023-01-13,876,23,133,238.07,151.62,Card
271,2023-01-13,923,29,5,54.95,33.95,Card
272,2023-01-13,1560,30,14,62.86,41.86,Card
273,2023-01-13,434,27,6,53.94,32.94,Card
274,2023-01-14,1360,4,28,237.72,120.12,Card
275,2023-01-14,2229,5,118,388.22,199.42,Cash
276,2023-01-14,1887,2,34,237.66,108.46,Card
277,2023-01-14,176,10,67,267.33,150.08,Card
278,2023-01-14,771,6,35,192.15,97.65,Card
279,2023-01-14,2398,7,97,270.63,154.23,Card
280,2023-01-14,1254,12,20,259.8,123.8,Card
281,2023-01-14,1671,13,30,269.7,134.7,Card
282,2023-01-14,1501,14,70,279.3,146.3,Cash
283,2023-01-14,1568,15,44,197.56,120.56,Card
284,2023-01-14,414,17,29,159.21,95.41,Card
285,2023-01-14,389,18,58,173.42,109.62,Mobile Wallet
286,2023-01-14,971,20,18,143.82,106.02,Mobile Wallet
287,2023-01-14,304,19,12,155.88,101.88,Card
288,2023-01-14,1974,22,4,99.96,61.96,Cash
289,2023-01-14,2430,23,164,293.56,186.96,Card
290,2023-01-14,303,25,31,309.69,167.09,Cash
291,2023-01-14,1204,26,24,263.76,137.76,Mobile Wallet
292,2023-01-14,2064,27,7,62.93,38.43,Card
293,2023-01-14,1433,29,5,54.95,33.95,Mobile Wallet
294,2023-01-14,731,28,20,69.8,44.8,Cash
295,2023-01-15,2311,1,87,303.63,147.03,Mobile Wallet
296,2023-01-15,1199,5,82,269.78,138.58,Cash
297,2023-01-15,476,3,35,279.65,122.15,Cash
298,2023-01-15,984,6,51,279.99,142.29,Cash
299,2023-01-15,1325,7,73,203.67,116.07,Card
300,2023-01-15,807,8,133,264.67,151.62,Card
301,2023-01-15,405,11,32,319.68,143.68,Cash
302,2023-01-15,1318,12,19,246.81,117.61,Card
303,2023-01-15,2126,14,66,263.34,137.94,Cash
304,2023-01-15,1745,18,65,194.35,122.85,Cash
305,2023-01-15,522,15,41,184.09,112.34,Cash
306,2023-01-15,1514,17,33,181.17,108.57,Card
307,2023-01-15,2139,19,9,116.91,76.41,Card
308,2023-01-15,556,20,15,119.85,88.35,Card
309,2023-01-15,1381,22,3,74.97,46.47,Card
310,2023-01-15,75,23,142,254.18,161.88,Card
311,2023-01-15,371,26,25,274.75,143.5,Cash
312,2023-01-15,2352,25,29,289.71,156.31,Cash
313,2023-01-15,1708,28,21,73.29,47.04,Card
314,2023-01-15,1110,27,6,53.94,32.94,Card
315,2023-01-15,844,30,13,58.37,38.87,Mobile Wallet
316,2023-01-16,748,3,25,199.75,87.25,Card
317,2023-01-16,2162,1,71,247.79,119.99,Mobile Wallet
318,2023-01-16,1794,4,25,212.25,107.25,Card
319,2023-01-16,1310,6,37,203.13,103.23,Card
320,2023-01-16,2234,8,121,240.79,137.94,Mobile Wallet
321,2023-01-16,171,7,65,181.35,103.35,Card
322,2023-01-16,1596,11,18,179.82,80.82,Card
323,2023-01-16,1133,13,18,161.82,80.82,Card
324,2023-01-16,680,14,45,179.55,94.05,Card
325,2023-01-16,2426,17,24,131.76,78.96,Card
326,2023-01-16,906,18,40,119.6,75.6,Card
327,2023-01-16,1314,15,31,139.19,84.94,Card
328,2023-01-16,1924,20,13,103.87,76.57,Card
329,2023-01-16,1393,21,5,99.95,67.45,Card
330,2023-01-16,1781,22,3,74.97,46.47,Mobile Wallet
331,2023-01-16,1086,24,40,239.6,127.6,Mobile Wallet
332,2023-01-16,633,23,139,248.81,158.46,Mobile Wallet
333,2023-01-16,1139,26,16,175.84,91.84,Card
334,2023-01-16,2211,28,12,41.88,26.88,Mobile Wallet
335,2023-01-16,173,29,3,32.97,20.37,Mobile Wallet
336,2023-01-16,64,30,9,40.41,26.91,Cash
337,2023-01-17,375,1,57,198.93,96.33,Mobile Wallet
338,2023-01-17,2101,5,78,256.62,131.82,Card
339,2023-01-17,2124,2,31,216.69,98.89,Card
340,2023-01-17,2343,9,58,260.42,138.62,Cash
341,2023-01-17,1858,10,61,243.39,136.64,Card
342,2023-01-17,1923,6,49,269.01,136.71,Card
343,2023-01-17,2474,13,21,188.79,94.29,Card
344,2023-01-17,454,14,55,219.45,114.95,Cash
345,2023-01-17,1357,11,18,179.82,80.82,Cash
346,2023-01-17,2462,17,29,159.21,95.41,Cash
347,2023-01-17,1428,18,51,152.49,96.39,Card
348,2023-01-17,910,15,32,143.68,87.68,Mobile Wallet
349,2023-01-17,974,22,4,99.96,61.96,Card
350,2023-01-17,1455,20,14,111.86,82.46,Mobile Wallet
351,2023-01-17,1434,21,4,79.96,53.96,Card
352,2023-01-17,1415,24,32,191.68,102.08,Card
353,2023-01-17,1076,23,124,221.96,141.36,Cash
354,2023-01-17,1488,25,23,229.77,123.97,Card
355,2023-01-17,664,30,10,44.9,29.9,Card
356,2023-01-17,640,29,3,32.97,20.37,Card
357,2023-01-17,909,28,11,38.39,24.64,Card
358,2023-01-18,774,3,28,223.72,97.72,Card
359,2023-01-18,1599,4,19,161.31,81.51,Card
360,2023-01-18,1765,1,57,198.93,96.33,Cash
361,2023-01-18,1322,10,48,191.52,107.52,Card
362,2023-01-18,334,6,45,247.05,125.55,Card
363,2023-01-18,1251,8,102,202.98,116.28,Mobile Wallet
364,2023-01-18,458,11,20,199.8,89.8,Card
365,2023-01-18,1225,14,54,215.46,112.86,Card
366,2023-01-18,393,12,15,194.85,92.85,Mobile Wallet
367,2023-01-18,2182,18,59,176.41,111.51,Cash
368,2023-01-18,935,16,16,143.84,81.44,Card
369,2023-01-18,629,17,26,142.74,85.54,Card
370,2023-01-18,2258,20,15,119.85,88.35,Card
371,2023-01-18,2476,19,6,77.94,50.94,Card
372,2023-01-18,1913,22,4,99.96,61.96,Card
373,2023-01-18,1793,25,21,209.79,113.19,Card
374,2023-01-18,1364,24,36,215.64,114.84,Card
375,2023-01-18,1,23,161,288.19,183.54,Mobile Wallet
376,2023-01-18,1870,28,13,45.37,29.12,Mobile Wallet
377,2023-01-18,217,30,9,40.41,26.91,Card
378,2023-01-18,1015,29,4,43.96,27.16,Card
379,2023-01-19,349,1,61,212.89,103.09,Cash
380,2023-01-19,403,5,60,197.4,101.4,Mobile Wallet
381,2023-01-19,1466,3,30,239.7,104.7,Card
382,2023-01-19,517,10,66,263.34,147.84,Mobile Wallet
383,2023-01-19,612,8,107,212.93,121.98,Card
384,2023-01-19,2134,7,83,231.57,131.97,Card
385,2023-01-19,174,12,17,220.83,105.23,Card
386,2023-01-19,1857,11,19,189.81,85.31,Mobile Wallet
387,2023-01-19,1897,13,24,215.76,107.76,Card
388,2023-01-19,46,18,64,191.36,120.96,Mobile Wallet
389,2023-01-19,1446,16,18,161.82,91.62,Mobile Wallet
390,2023-01-19,966,15,26,116.74,71.24,Card
391,2023-01-19,1001,21,5,99.95,67.45,Cash
392,2023-01-19,397,20,12,95.88,70.68,Card
393,2023-01-19,954,22,5,124.95,77.45,Card
394,2023-01-19,215,23,135,241.65,153.9,Card
395,2023-01-19,1978,26,21,230.79,120.54,Mobile Wallet
396,2023-01-19,2152,24,46,275.54,146.74,Card
397,2023-01-19,592,30,13,58.37,38.87,Card
398,2023-01-19,1111,27,5,44.95,27.45,Card
399,2023-01-19,396,28,13,45.37,29.12,Card
400,2023-01-20,998,3,28,223.72,97.72,Mobile Wallet
401,2023-01-20,830,4,29,246.21,124.41,Card
402,2023-01-20,1080,1,75,261.75,126.75,Card
403,2023-01-20,2005,10,50,199.5,112.0,Card
404,2023-01-20,441,9,53,237.97,126.67,Card
405,2023-01-20,623,6,45,247.05,125.55,Cash
406,2023-01-20,1644,11,19,189.81,85.31,Card
407,2023-01-20,473,12,16,207.84,99.04,Cash
408,2023-01-20,1063,13,25,224.75,112.25,Mobile Wallet
409,2023-01-20,335,17,24,131.76,78.96,Card
410,2023-01-20,34,18,59,176.41,111.51,Card
411,2023-01-20,1434,15,37,166.13,101.38,Card
412,2023-01-20,376,19,6,77.94,50.94,Card
413,2023-01-20,2345,21,6,119.94,80.94,Card
414,2023-01-20,493,22,5,124.95,77.45,Mobile Wallet
415,2023-01-20,1517,23,137,245.23,156.18,Cash
416,2023-01-20,2365,26,32,351.68,183.68,Card
417,2023-01-20,59,24,47,281.53,149.93,Mobile Wallet
418,2023-01-20,2247,28,10,34.9,22.4,Card
419,2023-01-20,895,30,12,53.88,35.88,Cash
420,2023-01-20,1447,27,5,44.95,27.45,Card
421,2023-01-21,1509,3,34,271.66,118.66,Card
422,2023-01-21,1038,4,35,297.15,150.15,Cash
423,2023-01-21,595,5,90,296.1,152.1,Mobile Wallet
424,2023-01-21,1156,9,80,359.2,191.2,Cash
425,2023-01-21,1291,8,182,362.18,207.48,Cash
426,2023-01-21,245,10,97,387.03,217.28,Card
427,2023-01-21,987,11,21,209.79,94.29,Card
428,2023-01-21,361,13,28,251.72,125.72,Card
429,2023-01-21,219,14,74,295.26,154.66,Card
430,2023-01-21,1244,16,27,242.73,137.43,Card
431,2023-01-21,581,17,46,252.54,151.34,Card
432,2023-01-21,2237,15,46,206.54,126.04,Mobile Wallet
433,2023-01-21,346,22,6,149.94,92.94,Cash
434,2023-01-21,1063,20,16,127.84,94.24,Cash
435,2023-01-21,1657,21,7,139.93,94.43,Mobile Wallet
436,2023-01-21,1402,24,55,329.45,175.45,Card
437,2023-01-21,1776,23,104,186.16,118.56,Mobile Wallet
438,2023-01-21,183,25,29,289.71,156.31,Cash
439,2023-01-21,1677,28,21,73.29,47.04,Card
440,2023-01-21,815,27,7,62.93,38.43,Mobile Wallet
441,2023-01-21,310,29,6,65.94,40.74,Card
442,2023-01-22,465,5,102,335.58,172.38,Cash
443,2023-01-22,876,4,29,246.21,124.41,Mobile Wallet
444,2023-01-22,2228,3,30,239.7,104.7,Card
445,2023-01-22,2164,10,63,251.37,141.12,Cash
446,2023-01-22,1352,9,57,255.93,136.23,Mobile Wallet
447,2023-01-22,495,6,57,312.93,159.03,Card
448,2023-01-22,558,12,14,181.86,86.66,Card
449,2023-01-22,807,14,48,191.52,100.32,Cash
450,2023-01-22,768,13,24,215.76,107.76,Cash
451,2023-01-22,363,17,38,208.62,125.02,Card
452,2023-01-22,525,16,24,215.76,122.16,Card
453,2023-01-22,722,15,37,166.13,101.38,Card
454,2023-01-22,2089,22,6,149.94,92.94,Card
455,2023-01-22,1543,20,18,143.82,106.02,Card
456,2023-01-22,136,21,8,159.92,107.92,Mobile Wallet
457,2023-01-22,2343,24,44,263.56,140.36,Card
458,2023-01-22,806,25,30,299.7,161.7,Card
459,2023-01-22,764,23,203,363.37,231.42,Card
460,2023-01-22,820,28,14,48.86,31.36,Mobile Wallet
461,2023-01-22,379,30,11,49.39,32.89,Card
462,2023-01-22,1076,27,6,53.94,32.94,Card
463,2023-01-23,364,1,78,272.22,131.82,Card
464,2023-01-23,2095,5,65,213.85,109.85,Mobile Wallet
465,2023-01-23,2143,4,28,237.72,120.12,Card
466,2023-01-23,2036,8,157,312.43,178.98,Card
467,2023-01-23,1579,9,57,255.93,136.23,Cash
468,2023-01-23,1835,6,50,274.5,139.5,Card
469,2023-01-23,112,11,15,149.85,67.35,Card
470,2023-01-23,2279,12,14,181.86,86.66,Cash
471,2023-01-23,253,13,18,161.82,80.82,Cash
472,2023-01-23,2270,18,55,164.45,103.95,Mobile Wallet
473,2023-01-23,1495,16,17,152.83,86.53,Cash
474,2023-01-23,541,15,29,130.21,79.46,Card
475,2023-01-23,1709,22,4,99.96,61.96,Mobile Wallet
476,2023-01-23,369,19,8,103.92,67.92,Mobile Wallet
477,2023-01-23,2228,20,18,143.82,106.02,Card
478,2023-01-23,2476,24,52,311.48,165.88,Mobile Wallet
479,2023-01-23,2113,23,147,263.13,167.58,Card
480,2023-01-23,2015,25,22,219.78,118.58,Card
481,2023-01-23,1183,27,4,35.96,21.96,Card
482,2023-01-23,896,28,13,45.37,29.12,Mobile Wallet
483,2023-01-23,1621,29,4,43.96,27.16,Card
484,2023-01-24,2196,2,28,195.72,89.32,Card
485,2023-01-24,396,3,19,151.81,66.31,Card
486,2023-01-24,2011,4,23,195.27,98.67,Card
487,2023-01-24,628,9,48,215.52,114.72,Card
488,2023-01-24,1429,8,120,238.8,136.8,Card
489,2023-01-24,2074,6,30,164.7,83.7,Mobile Wallet
490,2023-01-24,1352,12,12,155.88,74.28,Card
491,2023-01-24,2358,13,22,197.78,98.78,Card
492,2023-01-24,1439,14,44,175.56,91.96,Card
493,2023-01-24,1271,18,56,167.44,105.84,Mobile Wallet
494,2023-01-24,28,16,15,134.85,76.35,Card
495,2023-01-24,1675,17,29,159.21,95.41,Mobile Wallet
